Company,Country,Year,Accountability Score,Decarbonisation Score,Energy Procurement Score,Financing Decarbonisation Score,Just Transition and Advocacy Score,Traceability Score,Fashion Transparency Index
New Yorker,,2024,0,0,0,0,0,0,0
Next PLC,,2024,4.666666667,5.333333333,2.444444444,3.555555556,0,5.333333333,2.566666667
Nike Inc.,,2024,5,5.777777778,2.444444444,4.666666667,0,5.777777778,4.1
Nine West,,2024,0,0,0,0,0,0,0
Nordstrom,,2024,2.166666667,2.444444444,0,2.666666667,0,2.444444444,1.35
Nutmeg at Morrisons,,2024,2.5,2.444444444,0,1.333333333,0,2.444444444,1.05
Old Navy,,2024,5.166666667,6.222222222,4,4.666666667,0,6.222222222,3.55
Otto Group,,2024,1.5,1.333333333,0,2.666666667,0,1.333333333,1.616666667
OVS SpA,,2024,9.333333333,10,2,2.666666667,0,10,4.666666667
Paris (Almacenes Paris),,2024,1.666666667,1.777777778,0,0,0,1.777777778,0.7666666667
Patagonia Inc.,,2024,3.333333333,4,2,2.666666667,0,4,2.333333333
Pepe Jeans,,2024,0.3333333333,0,0,0,0,0,0.1
Pimkie,,2024,0.6666666667,0,0,0,0,0,0.1333333333
Prada,,2024,5.166666667,5.777777778,6,4.666666667,0,5.777777778,3.816666667
